filename,sha256,tags,Report_link
"ebadd662bb797b5077e24638de04a1554e19a56362d8fabe1ea6b6903491c95c","ebadd662bb797b5077e24638de04a1554e19a56362d8fabe1ea6b6903491c95c","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/ebadd662bb797b5077e24638de04a1554e19a56362d8fabe1ea6b6903491c95c/"
"0484c7ef48d7b5361e7d99d94339f748b1b12e0e83007a65da76dab54f4e373d","0484c7ef48d7b5361e7d99d94339f748b1b12e0e83007a65da76dab54f4e373d","apt,DangerousPassword,js,Lazarus","https://bazaar.abuse.ch/sample/0484c7ef48d7b5361e7d99d94339f748b1b12e0e83007a65da76dab54f4e373d/"
"20abd93a1c949874ca930d270c2fe1a4dffd8fa7d2a3056111c35723999d0078","20abd93a1c949874ca930d270c2fe1a4dffd8fa7d2a3056111c35723999d0078","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/20abd93a1c949874ca930d270c2fe1a4dffd8fa7d2a3056111c35723999d0078/"
"03f6c8f173413302d9c22a44a593fc9a5203fbb7652d3a36b3ace79f3cdc39a3","03f6c8f173413302d9c22a44a593fc9a5203fbb7652d3a36b3ace79f3cdc39a3","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/03f6c8f173413302d9c22a44a593fc9a5203fbb7652d3a36b3ace79f3cdc39a3/"
"Password txt lnk4","3402afd799f0fffb4704b5d3f6223086d2d2e23914107f44d21891eea65c0e0b","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/3402afd799f0fffb4704b5d3f6223086d2d2e23914107f44d21891eea65c0e0b/"
"Password txt lnk3","c9b4893bdb85d67c13826814ef0cf392648089f416aed40078907054624fba72","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/c9b4893bdb85d67c13826814ef0cf392648089f416aed40078907054624fba72/"
"Password txt lnk2","57959c2be2ac6349aa37edb73cd8a88fe8d3e69678cac4b38fac401bd3141fdf","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/57959c2be2ac6349aa37edb73cd8a88fe8d3e69678cac4b38fac401bd3141fdf/"
"Password txt lnk","51d53ca36a662b4aad5878987548f0f22f2a53545790577d8043373b6bf7eb75","apt,DangerousPassword,Lazarus,lnk","https://bazaar.abuse.ch/sample/51d53ca36a662b4aad5878987548f0f22f2a53545790577d8043373b6bf7eb75/"
"Profit Sharing Plan.zip","b33541d0eb15a5d0ea37826f34c9725688f2361374e1a31fe101edaf22fb32c9","apt,DangerousPassword,Lazarus,zip","https://bazaar.abuse.ch/sample/b33541d0eb15a5d0ea37826f34c9725688f2361374e1a31fe101edaf22fb32c9/"
"New Profit Distributions.zip","69cf309f71c3240525d00a14be5d0390c99313e24b0b6fef1d034f90c69cdd3d","apt,DangerousPassword,Lazarus,zip","https://bazaar.abuse.ch/sample/69cf309f71c3240525d00a14be5d0390c99313e24b0b6fef1d034f90c69cdd3d/"
"Crypto OTC_Individual List_20220305.zip","1411c8f084179eb44bb14a24859a190945cea5c723c3e01f742a0885d8cb97d2","apt,DangerousPassword,Lazarus,zip","https://bazaar.abuse.ch/sample/1411c8f084179eb44bb14a24859a190945cea5c723c3e01f742a0885d8cb97d2/"
"Annual Employee Bonus Plans.zip","b3f39054043551bcb78e4531580899b8343fc3c1e2dcfd46932ce576eea9019c","apt,DangerousPassword,Lazarus,zip","https://bazaar.abuse.ch/sample/b3f39054043551bcb78e4531580899b8343fc3c1e2dcfd46932ce576eea9019c/"
"d0cf9c1f87eac9b8879684a041dd6a2e1a0c15e185d4814a51adda19f9399a9b","d0cf9c1f87eac9b8879684a041dd6a2e1a0c15e185d4814a51adda19f9399a9b","apt,exe,Lazarus,signed","https://bazaar.abuse.ch/sample/d0cf9c1f87eac9b8879684a041dd6a2e1a0c15e185d4814a51adda19f9399a9b/"
"9cf24364deb780b45e69767698a50ec458f8b80507400b3bf1dd7e9bc0459b64","9cf24364deb780b45e69767698a50ec458f8b80507400b3bf1dd7e9bc0459b64","apt,Extractor,Golden Book,Lazarus,Lazarus for Mac,machO,signed","https://bazaar.abuse.ch/sample/9cf24364deb780b45e69767698a50ec458f8b80507400b3bf1dd7e9bc0459b64/"
"a65618516f5d27002434c2f7f9fa0534df1b3205b1a3c63179a65e9e4f60a1cc","a65618516f5d27002434c2f7f9fa0534df1b3205b1a3c63179a65e9e4f60a1cc","apt,Lazarus,Lazarus for Mac,machO,Shankey Nohria,signed","https://bazaar.abuse.ch/sample/a65618516f5d27002434c2f7f9fa0534df1b3205b1a3c63179a65e9e4f60a1cc/"
"5f4106c7b6b585b1d470d3e83dbc237d0e8e7e16c91a251ab022b73373831038","5f4106c7b6b585b1d470d3e83dbc237d0e8e7e16c91a251ab022b73373831038","apt,Golden Book,Lazarus,Lazarus for Mac,machO,signed","https://bazaar.abuse.ch/sample/5f4106c7b6b585b1d470d3e83dbc237d0e8e7e16c91a251ab022b73373831038/"
"c83d334a719cf265781f8472aa5adc5254dca6e93746160267683936e85bd9dc","c83d334a719cf265781f8472aa5adc5254dca6e93746160267683936e85bd9dc","apt,Golden Book,Lazarus,Lazarus for Mac,machO,signed","https://bazaar.abuse.ch/sample/c83d334a719cf265781f8472aa5adc5254dca6e93746160267683936e85bd9dc/"
"315503862cb7ebb0a731483827016015e355bad51f872db5c650a822de744937","315503862cb7ebb0a731483827016015e355bad51f872db5c650a822de744937","apt,Lazarus,Lazarus for Mac,machO,safarifontagent","https://bazaar.abuse.ch/sample/315503862cb7ebb0a731483827016015e355bad51f872db5c650a822de744937/"
"a0bf5af3f931a428b905fd14d43b61af47b7f272425ae4ff4d78b5cb139b8276","a0bf5af3f931a428b905fd14d43b61af47b7f272425ae4ff4d78b5cb139b8276","apt,FinderFontsUpdater,Lazarus,Lazarus for Mac,machO","https://bazaar.abuse.ch/sample/a0bf5af3f931a428b905fd14d43b61af47b7f272425ae4ff4d78b5cb139b8276/"
"55571ac52e1f02f18af77e2f3314382c982a37744b58732dfc15faac9d66619f","55571ac52e1f02f18af77e2f3314382c982a37744b58732dfc15faac9d66619f","apt,Extractor,Lazarus,Lazarus for Mac,machO","https://bazaar.abuse.ch/sample/55571ac52e1f02f18af77e2f3314382c982a37744b58732dfc15faac9d66619f/"
"a3ef9fd758bca1c94054a43995a99069abaef672495c1bd3ee831217c1f5e498","a3ef9fd758bca1c94054a43995a99069abaef672495c1bd3ee831217c1f5e498","apt,exe,Lazarus,Lazarus for Mac","https://bazaar.abuse.ch/sample/a3ef9fd758bca1c94054a43995a99069abaef672495c1bd3ee831217c1f5e498/"
"2b4e8f1927927bdc2f71914ba1f12511d9b6bdbdb2df390e267f54dc4f8919dd","2b4e8f1927927bdc2f71914ba1f12511d9b6bdbdb2df390e267f54dc4f8919dd","apt,Lazarus,Lazarus for Mac,pdf","https://bazaar.abuse.ch/sample/2b4e8f1927927bdc2f71914ba1f12511d9b6bdbdb2df390e267f54dc4f8919dd/"
